GivenName,MiddleInitial,Surname,City,State
Binc,C,Mouwen,Bassenge,WLG
Ruthger,M,Kielstra,Robechies,WLX
Yazid,R,Hoogerbrugge,Korbeek-Lo,VBR
Mücahid,E,Westhuis,Montignies-sur-Roc,WHT
Eli,D,Bolhuis,Vreren,VLI
Nebahat,T,Verwijst,Menen,VWV
Montague,O,Tardif,Mormont,WHT
Malik,M,Bruintjes,Flostoy,WNA
Madhavi,R,Er,Aartselaar,VAN
Gyan,F,Balvert,Sommière,WNA
Valérie,É,Norbert,Tisselt,VAN
Gifford,C,Patel,Vleteren,VWV
Villette,V,Routhier,Andrimont,WLG
Pierre,A,Labrie,Malèves-Ste-Marie-Wastines,WBR
Clothilde,A,Mouet,Longlier,WHT
Loena,W,van Opstal,Varendonk,VAN
Boubker,C,Goorden,Geel,VAN
Redouane,A,Balder,Heusy,WLG
Corette,M,Lagrange,Oudegem,VOV
Madeleine,M,Charrette,Miécret,WNA
Liselore,A,Haaksman,Durbuy,WHT
Harbin,A,LeBatelier,Kleine-Brogel,VLI
Corinne,L,Pitre,Duffel,VAN
Bartholomeüs,J,Wielenga,Saint-Maur,WHT
Sydney,V,Richard,Leers-Nord,WHT
Helene,I,de Baat,Nieuwkerke,VWV
Aria,J,Goosens,Bléharies,WHT
Philippe,Y,Pouliotte,Mariembourg,WNA
Faisel,H,Lambregts,Mont-sur-Marchienne,WLX
Franky,A,van de Weerdhof,Kruibeke,VOV
Timoteüs,A,Balfoort,Harnoncourt,WHT
Dominic,R,Poorthuis,Ramegnies-Chin,WHT
Jasmin,T,Kempkes,Mesnil-Eglise,WNA
Roan,A,van Neerbos,Zoutenaaie,VWV
Searlas,F,Boileau,Heverlee,VBR
Mahmud,L,van Langen,Oorbeek,VBR
Minh,N,Kisjes,Zelzate,VOV
Fifi,S,Franchet,Wondelgem,VOV
Davey,M,Dörenberg,Klemskerke,VWV
Amedee,T,Leclerc,Pellaines,WLG
Inez,B,van Baarle,Stoumont,WLG
Gülizar,J,Pothoven,Lauw,VLI
Ridvan,N,van Limbeek,Volkegem,VOV
Dominique,F,Tollmache,Bierghes,WBR
Franck,J,Jodion,Pontillas,WNA
Ray,É,Louineaux,Berchem,VAN
Roch,D,Beaulé,Sint-Pieters-Leeuw,VBR
Steffy,N,Brandsma,Oteppe,WLG
Koop,A,van Ast,Tongeren,VLI
Rosanne,L,van 't Riet,Montzen,WLG
Ferri,S,Ahmadi,Attenrode,VBR
Duke,P,Altun,Fayt-le-Franc,WHT
Florus,V,Barjavel,Crisnée,WLG
Rayan,L,Makkinga,Haltinne,WNA
Joy,T,Compagnon,Boekhoute,VOV
Jornt,J,van der Kleij,Beaufays,WLG
Serano,Q,Ottevanger,Grandville,WLG
Nikolaj,H,Vrij,Godinne,WNA
Rule,H,Gougeon,Waardamme,VWV
Michail,M,Westrik,Helkijn,VWV
Julien,A,Daigneault,Assent,VBR
Frédérique,V,Michel,Antwerpen,VAN
Royce,A,Beausoleil,Donceel,WLG
Thiery,J,Perrault,Pont-de-Loup,WLX
Jarich,R,Boosten,Nukerke,VOV
Joseph,G,D'Aoust,Saint-Remy,WLG
Corette,A,Langlais,Saint-Pierre,WHT
Normand,G,Rouze,Furnaux,WNA
Norris,L,Rhéaume,Baugnies,WHT
Koert,L,Piest,Viane,VOV
Caresse,B,Leblanc,Petigny,WNA
Harbin,A,Mothé,Bombaye,WLG
Isa,L,van Gessel,Fagnolle,WNA
Annot,H,Crête,Mendonk,VOV
Feike,S,Woudsma,Borgloon,VLI
Vittorio,D,Schoenaker,Bothey,WNA
Arnou,D,Vertefeuille,Tavigny,WHT
Kareem,J,van Straaten,Lieferinge,VOV
Perrin,E,Vertefeuille,Vloesberg,WHT
Nilesh,A,Ramlal,Anthisnes,WLG
Imre,M,Maatje,Mont-sur-Marchienne,WLX
Frontino,D,Charpie,Sint-Pauwels,VOV
Laurentius,Z,Worm,Beausaint,WHT
Hilaire,R,Guibord,Gingelom,VLI
Taylan,A,Roodenburg,Dampicourt,WHT
Belda,V,Huot,Oudenburg,VWV
Dreux,K,DeGrasse,Boëlhe,WLG
Wasim,C,van den Haak,Heurne,VOV
Afra,M,Koevoet,Transinne,WHT
Keziban,S,Hommes,Etalle,WHT
Jazz,M,den Ridder,Desselgem,VWV
Rahma,C,Schellingerhout,Oudenaken,VBR
Ziad,A,Lof,Mozet,WNA
Pierre,F,Bousquet,Malderen,VBR
Tanguy,R,Chastain,L'Escaillère,WLX
Mathijs,T,Smallegange,La Hestre,WHT
Lucas,G,Villeneuve,Nossegem,VBR
Cindy,C,van Lokven,Blaregnies,WHT
Konstantin,L,Dogge,Porcheresse,WNA
Porter,E,Étoile,Wezembeek-Oppem,VBR
Ferragus,Z,Martel,Vaux-Chavanne,WHT
Anton,N,Laurent,Leisele,VWV
Hamilton,N,Charpentier,Roeselare,VWV
Mylo,S,Dieteren,Thiméon,WLX
Delphine,D,Briard,Wasmes,WHT
Audric,A,Brousse,Buken,VBR
Élodie,F,Leclair,Evegnée,WLG
Agathe,D,Brisebois,Masnuy-Saint-Jean,WHT
Kiefer,P,Kahraman,Merchtem,VBR
Beert,P,Schoon,Westrozebeke,VWV
Gano,P,Robillard,Houtain-le-Val,WBR
Porter,M,Chevrette,Herentals,VAN
Arienne,T,Ruel,Ecaussinnes-Lalaing,WHT
Holly,F,Léveillé,Westvleteren,VWV
Issam,H,Zwarts,Laforêt,WNA
Daniel,R,Kuiken,Namêche,WNA
Jay,P,Grondin,Liège,WLG
Adrien,V,Sorel,Sart-Saint-Laurent,WNA
Hajar,W,Schrijer,Munkzwalm,VOV
Duy,S,van Hilten,Blandain,WHT
Quinten,T,Verhaar,Anloy,WHT
Anton,A,Lang,Waardamme,VWV
Engbert,E,van Kranenburg,Oudenaarde,VOV
Carolos,A,Brasseur,Erezée,WHT
Juriën,M,Barendsen,Blaimont,WNA
Étienne,O,Labrie,Ghislenghien,WHT
Rohan,Y,van der Rijt,Bovigny,WHT
Porter,C,Pichette,Molenbaix,WHT
Henry,A,Mathieu,Bellefontaine,WHT
Issa,H,Visschers,Zaffelare,VOV
Roslyn,F,Moreau,Linkebeek,VBR
Majida,G,Verlaan,Pussemange,WNA
Levon,A,Herfst,Blandain,WHT
Imran,J,Kruijs,Boëlhe,WLG
Marsilius,L,Beaulé,Durnal,WNA
Lennert,N,van Klinken,Guignies,WHT
Nandy,G,Vervuurt,Comblain-au-Pont,WLG
Harmjan,G,Limpens,Binderveld,VLI
Joakim,M,Buizer,Ernage,WNA
Sasha,A,Foesenek,Villers-le-Bouillet,WLG
Maureen,M,Gamache,Kalken,VOV
Ferenc,S,Meeuwisse,Oeselgem,VWV
Jaël,K,Arens,Grand-Leez,WNA
Granville,Z,Duplanty,Bioul,WNA
Buğra,R,van Dieten,Bonheiden,VAN
Nicholas,C,Charpie,Lens-Saint-Remy,WLG
Vick,E,Gervais,Winksele,VBR
Nanko,Z,Bodewes,Moerbeke,VOV
Avenall,O,Miron,Membre,WNA
Senapus,D,Bois,Morhet,WHT
Laetitia,R,Plouffe,Attenhoven,VBR
Christophe,H,Croteau,Haasdonk,VOV
Kornelis,G,Huitema,Wavre,WBR
Naime,J,Huberts,Bassevelde,VOV
Barry,F,Couturier,Flamierge,WHT
Femma,H,Karakaya,Neuville-en-Condroz,WLG
Léon,J,Duplessis,Herseaux,WHT
Douae,C,Bikker,Webbekom,VBR
Pleuni,I,van Geenen,Awenne,WHT
La Roux,A,Rouze,Amougies,WHT
Scoville,M,Sacré,Arsimont,WNA
Jelte,S,Duinkerken,Kampenhout,VBR
Yves,A,Marcheterre,Petit-Enghien,WHT
Charles,D,Marceau,Molenstede,VBR
Solaine,L,Ratté,Fallais,WLG
Adilson,H,Edelenbos,Pont-à-Celles,WLX
Ansel,A,Beaulac,Mont,WNA
Johan,M,Boor,Flémalle,WLG
Jaidy,D,Kapitein,Landskouter,VOV
Somer,A,Beauchemin,Tourinnes-Saint-Lambert,WBR
Odette,R,Duranseau,Veurne,VWV
Oguz,N,van Steenbergen,Bernissart,WHT
Jazz,D,van Veghel,Le Mesnil,WNA
Harry,D,Clarijs,Meix-le-Tige,WHT
Ancelina,I,Dastous,Alleur,WLG
Kasper,T,Zandberg,Villers-lez-Heest,WNA
Jazzy,B,Meekes,Dongelberg,WBR
Jay,C,Ruais,Longchamps,WNA
Cher,A,Caisse,Grivegnée,WLG
Orson,E,Langelier,Resteigne,WHT
Beltane,G,Barjavel,Soy,WHT
Kaylie,G,Puister,Ramskapelle,VWV
Pierrette,M,Morin,Zwalm,VOV
Thiery,S,Grimard,Dour,WHT
Tije,B,Wilbers,Oostkamp,VWV
Houria,E,de Vogel,Lombardsijde,VWV
Normand,A,Desnoyers,Vichte,VWV
Bernadette,V,Doiron,Merchtem,VBR
Luite,S,van der Marel,Herentals,VAN
Jannes,A,de Laat,Begijnendijk,VBR
Kaoutar,A,Sener,Grandvoir,WHT
Douwe,J,Otten,Hatrival,WHT
Kaouthar,J,Kregel,Beauvechain,WBR
Toni,R,Verhoef,Alleur,WLG
Jaydee,M,Ganesh,Geraardsbergen,VOV
Beatriz,D,van Baar,Lombise,WHT
Andries,L,Fortuin,Saint-Denis-Bovesse,WNA
Kris,S,Bischoff,Bierbeek,VBR
Bernard,V,Vachon,Vremde,VAN
Adrie,C,Ye,Wanlin,WNA
Tearlach,V,Parenteau,Blicquy,WHT
Armano,L,Baptist,Corbion,WHT
Bruce,Z,Sacré,Waltwilder,VLI
Élodie,P,Veronneau,Richelle,WLG
Najat,A,Gunnink,Stavelot,WLG
Tiemo,K,Günes,Hornu,WHT
Maurizio,D,van Erkelens,Hanret,WNA
Daniël,E,Harlaar,Rijkhoven,VLI
Ervin,F,Coppelmans,Houffalize,WHT
Sapna,S,Jonkers,Bolinne,WNA
Catrinus,A,Leeftink,Oevel,VAN
Yvan,R,Tiemessen,Hompré,WHT
Ilyasse,L,Bremer,Thines,WBR
Meggy,D,Kruidhof,Brussel,WBR
Alban,C,Kwakkel,Miécret,WNA
Bayard,A,Panetier,Kersbeek-Miskom,VBR
Zerbino,C,Bisson,Brussel,WBR
Faizel,L,Slag,Nossegem,VBR
Mari,C,Camps,Hever,VBR
Romain,S,Fongemie,Brussel,WBR
Alfred,O,Laberge,Odeigne,WHT
Scoville,E,Busque,Westrozebeke,VWV
Jasin,D,van de Merwe,Gent,VOV
Skip,L,Algera,Neuville,WNA
Damon,C,Blokland,Voroux-Goreux,WLG
Denisa,A,Mellema,Juseret,WHT
Clarimunda,T,Chabot,Kerkom,VBR
Barry,A,Lefèbvre,Neerharen,VLI
Aubin,A,Lacasse,Bredene,VWV
Kofi,I,Kole,Lantin,WLG
Orville,D,Monrency,Jehay,WLG
Isaac,A,Cressac,Brussel,WBR
Fealty,A,Tisserand,Meslin-l'Evêque,WHT
Iven,L,Miron,Verlée,WNA
Pinabel,É,Marleau,Villers-en-Fagne,WNA
Favor,T,Champagne,Suxy,WHT
Mercer,P,Coulombe,Hognoul,WLG
Isa,K,Boldewijn,Aulnois,WHT
Nima,M,Senders,Ensival,WLG
Bartlett,I,Garreau,Sint-Joris-Winge,VBR
Brunella,M,Josseaume,Saint-Germain,WNA
Chavelli,S,Meeuwsen,Thimougies,WHT
Jibbe,D,Bastiaans,Wiekevorst,VAN
Rommert,S,van den Heuvel,Bonneville,WNA
Corbin,S,Hooijmaijers,Poucet,WLG
Nasr,E,Savelberg,Mirwart,WHT
Selwyn,F,van Roekel,Basècles,WHT
Evelyn,D,van Impelen,Maurage,WHT
Steffan,J,Pruim,Custinne,WNA
Pierre,L,Audibert,Acoz,WLX
Eugenia,R,Tanguay,Hemiksem,VAN
Edmond,S,Burger,Korbeek-Lo,VBR
Laurent,C,Rousseau,Deurle,VOV
Nouel,L,Brousse,Cornimont,WNA
Lamyae,J,Lap,Rijkel,VLI
Bartel,A,Hogeweg,Berbroek,VLI
Eileen,R,Hertogs,Marche-en-Famenne,WHT
Kyan,E,van der Vorst,Houwaart,VBR
Parfait,F,Voisine,Brussel,WBR
Victor,A,Bazinet,Machelen,VOV
Fábio,C,Knigge,Linkhout,VLI
Lotye,K,Desjardins,Fraiture,WLG
Feyyaz,W,Lagerwerf,Aartselaar,VAN
Hugo,Ü,van der Wolf,Hollogne-aux-Pierres,WLG
Samer,M,Dijks,Thisnes,WLG
Marvin,A,Hofstee,Omezée,WNA
Emmeline,P,Bériault,Brussel,WBR
Joanna,S,Douffet,Eugies,WHT
Mijke,B,Nijland,Kuringen,VLI
Gérard,P,Chrétien,Wiekevorst,VAN
Fauna,P,Aubé,Landskouter,VOV
Pomeroy,O,Beaupré,Rossignol,WHT
Brooklyn,L,Stuut,Kortrijk,VWV
Maslin,M,Garceau,St-Pieters-Kapelle,VWV
Hamdi,D,van der Wiel,Roucourt,WHT
Fabien,I,Beauchemin,Bagimont,WNA
Rina,F,Meulenbroek,Sint-Martens-Bodegem,VBR
Javier,A,Potvin,Lissewege,VWV
Carole,A,Panetier,Sint-Lenaerts,VAN
Tanguy,D,Lamy,Signeulx,WHT
Ignace,M,Duplessis,Bastogne,WHT
Egon,H,Wieling,Buvrinnes,WHT
Harbin,I,Larivière,Martouzin-Neuville,WNA
Harcourt,N,Martin,Harnoncourt,WHT
Geeske,Z,Lam,Theux,WLG
Florus,C,Vaillancourt,Walshoutem,VBR
Cuno,S,Oord,Oelegem,VAN
Yoëll,D,Duijf,Plombières,WLG
Luce,Y,Lagrange,Ferrières,WLG
Derek,J,Smit,Braine-l'Alleud,WBR
Tempeste,A,Briard,Mechelen,VAN
Ervin,Y,Tabbers,Sambreville,WNA
Florus,S,Ménard,Tailles,WHT
Pensee,X,Vaillancour,Samrée,WHT
Doutzen,W,Peulen,Eigenbilzen,VLI
D'Arcy,L,Forest,Haneffe,WLG
Jochen,J,Krol,Tellin,WHT
Marlotte,S,Verstraeten,Lot,VBR
Jovanni,R,Kersbergen,Wihogne,WLG
Christa,C,Schults,Bande,WHT
Niel,M,Tuijn,Brussel,WBR
Saifeddine,I,Heddes,Geetbets,VBR
Mikey,M,Farah,Snellegem,VWV
Maslin,M,Bousquet,Hennuyères,WHT
Noelia,G,Aben,Ravels,VAN
Aubert,B,Rouze,Andenne,WNA
Charles,M,Pinette,Nederzwalm-Hermelgem,VOV
Merle,A,Quessy,Esneux,WLG
Xavier,Y,Boivin,Sint-Lenaerts,VAN
Denis,B,Bordeaux,Strijtem,VBR
Batuhan,K,Trines,Mormont,WHT
Roland,F,Lampron,Flamierge,WHT
Önder,F,de Vente,Walsbets,VBR
Jafeth,L,de Koe,Saint-Maur,WHT
Zerbino,A,Faubert,Fallais,WLG
Françoise,L,Petit,Fexhe-Slins,WLG
Kari,D,Bourgeois,Opitter,VLI
David,D,Carignan,Petegem-aan-de-Schelde,VOV
Medoro,M,Lalonde,Volkegem,VOV
Ebu,E,Haver,Bossut-Gottechain,WBR
Chandler,C,Josseaume,Lovenjoel,VBR
Koert,W,Hospers,Walshoutem,VBR
Tyson,P,Plante,Hamme,VOV
Taro,A,Grootfaam,Houthalen-Helchteren,VLI
Desire,C,Lauzier,La Reid,WLG
Saber,J,Simon,Hulsonniaux,WNA
Hasibe,A,Stouten,Dworp,VBR
Donat,O,Masson,Witry,WHT
Alieke,B,van Werven,Elverdinge,VWV
Mannes,C,Nederveen,Brûly-de-Pesche,WNA
Wilson,A,van Rossum,Melkwezer,VBR
Dorene,C,Aucoin,Nives,WHT
Nikhil,F,de Graaf,Gerdingen,VLI
Zahide,N,Schuringa,Helchteren,VLI
Marije,C,Lanser,Korbeek-Lo,VBR
Gaetan,S,Boucher,Elingen,VBR
Davet,P,Gaulin,Rendeux,WHT
Olympia,R,Riquier,Beez,WNA
Coralie,A,L'Anglais,Ragnies,WLX
Aubrey,S,Mouet,Saint-Remy,WLG
Maurelle,D,Mireault,Baillamont,WNA
Channing,G,Robitaille,Mainvault,WHT
Scoville,V,Mailhot,Grand-Axhe,WLG
Jard,K,Heijs,Lives-sur-Meuse,WNA
Gill,C,Des Meaux,Gooik,VBR
Élisabeth,P,Béland,Baarle-Hertog,VAN
Seyed,D,Eland,Schoten,VAN
Bevis,F,Grimard,Baronville,WNA
Marshall,A,Bizier,Ellignies-Sainte-Anne,WHT
Christophe,C,Quenneville,Velzeke-Ruddershove,VOV
Peppin,J,Bonnet,Niel-bij-As,VLI
Ulbe,B,Peters,Verrebroek,VOV
Lothair,R,Pariseau,Libramont-Chevigny,WHT
Nisanur,F,Paul,Wezeren,VBR
Hilco,A,IJzermans,Messines,VWV
Chantal,B,Quessy,Cerexhe-Heuseux,WLG
Harcourt,C,Beauchesne,Moresnet,WLG
Revelino,L,Haarman,Rupelmonde,VOV
Leen,V,Meyer,Scherpenheuvel,VBR
Mason,S,van Beem,Villers-Poterie,WLX
Rokus,J,Levering,Bütgenbach,WLG
Linsey,S,Reijnders,Incourt,WBR
Reynaldo,Z,Davis,Willebroek,VAN
Burnell,C,Théberge,Saint-Denis,WHT
Kaja,F,van Benthem,Sint-Kruis,VWV
Léon,L,Brochu,Aubel,WLG
Bruno,P,Miron,Hermée,WLG
Jackie,J,Bastiaansen,Mozet,WNA
Aalbert,J,Ponsen,Nieuwkerken-Waas,VOV
Cerise,V,Frappier,Neerlanden,VBR
Landers,I,Charlesbois,Bonnert,WHT
Maslin,H,Arcouet,Villers-devant-Orval,WHT
Torsten,R,Meijering,Haulchin,WHT
Morgana,E,Tremblay,Piètrebais,WBR
Alain,C,Lemelin,Keumiée,WNA
Willemina,P,Kuiken,Presgaux,WNA
Daniel,D,Houde,Maransart,WBR
Nicole,A,Mouet,Brussegem,VBR
Engbert,F,Vlasveld,Petit-Rechain,WLG
Luigi,R,Genç,Wilderen,VLI
Agrican,Y,Poissonnier,Waillet,WNA
Sterre,Z,Oelen,Smetlede,VOV
Shane,M,Dammer,Hastière-par-Delà,WNA
Tyrone,R,de Best,Zellik,VBR
Adisa,T,Hammer,Villance,WHT
Elmer,M,van Baast,Villers-en-Fagne,WNA
Arnaud,A,Bourdette,Hechtel,VLI
Auda,G,Latourelle,Beaumont,WLX
Adrien,B,Gagnon,Vrasene,VOV
Ebrahim,H,Verburgt,Tenneville,WHT
Scoville,H,Courtois,Brussel,WBR
Sivar,Y,van der Meij,Signeulx,WHT
Roché,Z,Celie,Ramskapelle,VWV
Fealty,C,Verreau,Brussel,WBR
Granville,T,Beaudoin,Gent,VOV
Wilson,L,Leijenaar,Merlemont,WNA
Jolinde,H,Drost,Moorslede,VWV
Senne,M,Louter,Hofstade,VOV
Odelette,M,Dandonneau,Kapelle-op-den-Bos,VBR
Jose,R,Vloedgraven,Dranouter,VWV
Myrle,E,Coomans,Lotenhulle,VOV
Patrice,Y,Çetin,Hondelange,WHT
Sacripant,R,St-Pierre,Gutschoven,VLI
Forrest,C,Duclos,Longlier,WHT
Driss,M,Nijhof,Baardegem,VOV
Henny,R,van der Wilk,Hekelgem,VBR
Chimène,A,Tukker,Liers,WLG
Burnell,D,Busque,Vinalmont,WLG
Archaimbau,M,Beaulieu,Herk-de-Stad,VLI
Massimo,C,Beijert,Petigny,WNA
Abdul,E,de Graaff,Haacht,VBR
Liena,A,Binkhorst,Hensies,WHT
Frontino,M,Talon,Poeke,VOV
Delmar,J,Lereau,Morville,WNA
Galatee,M,Verreau,Verviers,WLG
Melle,S,Voorwinden,Ave-et-Auffe,WNA
Dominic,N,van Otterlo,Tenneville,WHT
Armando,E,van Klink,Evergem,VOV
Mirko,S,Lap,Villers-aux-Tours,WLG
Thomas,B,Paradis,Vellereille-les-Brayeux,WHT
Isaac,A,Lécuyer,Monceau-en-Ardenne,WNA
Lina,A,Rijgersberg,Merkem,VWV
Emilius,S,Kupers,Nevele,VOV
Bruce,C,Guimond,Overboelare,VOV
Charlotte,A,Veilleux,Schoonaarde,VOV
Dominique,O,Laberge,Sint-Niklaas,VOV
Lindy,A,van Ravenzwaaij,Hornu,WHT
Valentino,N,van Dalfsen,Francorchamps,WLG
Avenall,N,Brousse,Moregem,VOV
Joey,U,Helmer,Morhet,WHT
Bayard,J,Richer,Beauwelz,WLX
Jermo,F,Mallens,Ostiches,WHT
Yde,N,Berg,Anthisnes,WLG
Vic,D,van Ruitenbeek,Ooike,VOV
Pien,S,Hoffer,Callenelle,WHT
Donat,J,Audet,Gent,VOV
Gaetan,M,Levasseur,Trois-Ponts,WLG
Hamda,D,Claassen,Hondelange,WHT
Bennet,T,van der Made,Folx-les-Caves,WBR
Hilco,M,Krans,Fouron-Saint-Martin,VLI
Sevda,S,Abrahamse,Neerheylissem,WBR
Robinette,L,Bienvenue,Dergneau,WHT
Philippe,A,Lapresse,Boninne,WNA
Nona,G,Horvers,Saint-Servais,WNA
Vallis,E,Brochu,Erondegem,VOV
Zoé,F,Beaudry,Werchter,VBR
Navin,J,Oranje,Waterloo,WBR
Eleanor,S,Marceau,Manderfeld,WLG
Henry,A,D'Aoust,Vladslo,VWV
Lilith,M,Volkers,Gentinnes,WBR
Bruce,A,Sauvé,Lombardsijde,VWV
Ritesh,H,van Kalsbeek,Nederokkerzeel,VBR
Dianne,F,Verrips,Moeskroen,WHT
Thierry,A,Charpentier,Tongerlo,VAN
Djay,V,Vrijenhoek,Oisquercq,WBR
Hugues,M,Brunault,Beaufays,WLG
Alberto,S,van den Eerenbeemt,Wandre,WLG
Margretha,S,Aarsen,Scy,WNA
Hermannus,C,Rutjens,Vellereille-le-Sec,WHT
Jilles,C,Mandersloot,Bertrix,WHT
Berrie,F,van Oord,Rollegem-Kapelle,VWV
Yves,A,De La Vergne,Sippenaeken,WLG
Bento,L,Hoeijmakers,Sint-Stevens-Woluwe,VBR
Jeannine,G,Gagnon,Vlimmeren,VAN
Vick,H,Vernadeau,Zevekote,VWV
Dielle,C,Fecteau,Leupegem,VOV
Gianluca,S,Neef,Hermalle-sous-Huy,WLG
Sebastien,N,van Aarle,Elsenborn,WLG
Paul,L,D'Avis,Pessoux,WNA
Normand,C,Lécuyer,Watervliet,VOV
Granville,A,Benjamin,Montignies-lez-Lens,WHT
Onfroi,C,Sciverit,Haut-Ittre,WBR
Clovis,P,Lesage,Schelle,VAN
Quennel,G,Huard,Rukkelingen-Loon,VLI
Aidan,X,King,Houthem,WHT
Berra,M,Verver,Chokier,WLG
Jory,M,Barink,Quenast,WBR
Anis,C,Zomer,Meeuwen-Gruitrode,VLI
Vernon,A,Chalifour,Sint-Jan-in-Eremo,VOV
Courtland,T,Covillon,Fontaine-l'Evêque,WLX
Dimitry,A,van Kalmthout,Ramillies,WBR
Astolpho,A,Arcouet,Athus,WHT
Samuël,D,Wassink,Glain,WLG
Royden,M,Racine,Mouland,VLI
Ahmed,F,Hamminga,Bergilers,WLG
Ancelina,D,Beauchamp,Tienen,VBR
Ninette,T,Bordeleau,Groot-Loon,VLI
Platt,L,Bossé,Pousset,WLG
Leverett,F,Vadeboncoeur,Ressaix,WHT
Gérard,G,Galarneau,Knesselare,VOV
Mallory,M,Lachance,Chênée,WLG
Marveille,B,DuLin,Masnuy-Saint-Pierre,WHT
Dave,R,Baggerman,Brecht,VAN
Frédéric,J,Levasseur,Ransberg,VBR
Hardouin,D,Raymond,Somzée,WNA
Mercer,B,Fouquet,Houtain-le-Val,WBR
Jauke,M,Langedijk,Piéton,WHT
Shifra,G,Steur,Graide,WNA
Maren,A,Mijnals,Wontergem,VOV
Cerise,B,Landry,Gijzelbrechtegem,VWV
Karlotta,G,Ruais,Baaigem,VOV
Ancelina,M,Courtemanche,Hampteau,WHT
Constance,B,Dorrestein,Tinlot,WLG
Edvin,Q,Esmeijer,Blégny,WLG
Gabriel,S,Pelland,Aye,WHT
